model,pred_len,epoch,train_loss,val_loss,r2_val_sklearn
Transencwithlineardec,1,9,33752.45118100196,1191.8038284778595,0.15969181060791016
Transencwithlineardec,1,10,33690.19011774659,1187.063081599772,0.1630343198776245
Transencwithlineardec,1,11,33633.90224491805,1164.3440103381872,0.17905288934707642
Transencwithlineardec,1,12,33655.89736109972,1163.6985052376986,0.17950809001922607
Transencwithlineardec,1,13,33602.43876096606,1155.7446146309376,0.18511617183685303
Transencwithlineardec,1,14,33669.46365001798,1169.07751904428,0.17571550607681274
Transencwithlineardec,1,15,33621.22980707884,1162.6903408169746,0.1802188754081726
Transencwithlineardec,1,16,33549.45486262441,1141.2253181263804,0.19535332918167114
Transencwithlineardec,1,17,33525.70835776627,1127.4677581191063,0.20505332946777344
Transencwithlineardec,1,18,33479.186559945345,1132.9611664116383,0.20118016004562378
Transencwithlineardec,1,19,33458.59822978079,1125.5293698310852,0.2064201831817627
Transencwithlineardec,1,20,33411.161516688764,1128.598579466343,0.2042560577392578
Transencwithlineardec,1,21,33406.29658674449,1117.0680398643017,0.21238601207733154
Transencwithlineardec,1,22,33401.57667307556,1125.1410914584994,0.20669394731521606
Transencwithlineardec,1,23,33411.32165570557,1109.812591522932,0.21750152111053467
Transencwithlineardec,1,24,33297.75452597439,1114.7426733374596,0.21402549743652344
Transencwithlineardec,1,25,33318.3052547425,1106.8591405451298,0.21958398818969727
Transencwithlineardec,1,26,33344.10350881517,1107.3091484308243,0.21926671266555786
Transencwithlineardec,1,27,33231.56834666431,1095.5352770090103,0.22756808996200562
Transencwithlineardec,1,28,33343.741776976734,1088.1986655890942,0.23274099826812744
Transencwithlineardec,1,29,33263.47280739248,1096.1477710604668,0.22713619470596313
Transencwithlineardec,1,30,33303.39877073467,1108.0287104845047,0.21875935792922974
Transencwithlineardec,1,1,34511.230500750244,1280.1387777216733,0.09740924835205078
Transencwithlineardec,1,2,33725.91574028134,1149.5981779582798,0.18944978713989258
Transencwithlineardec,1,3,33436.6714091301,1098.5299828127027,0.2254565954208374
Transencwithlineardec,1,4,33279.41669435799,1074.375242345035,0.24248749017715454
